reward: 0.4175, epoch: 530, params: 2476306, epoch_time: 97.6887, genotype: [[6, [0, 0, 3, 1], [1, 0, 8, 0], [6, 2, 7, 0]], [[3, 0], [3, 1], [2, 1]]]
reward: 0.3965, epoch: 531, params: 2196114, epoch_time: 56.9799, genotype: [[10, [0, 0, 8, 9], [1, 2, 6, 9], [2, 5, 8, 0]], [[3, 3], [0, 0], [5, 0]]]
reward: 0.4967, epoch: 532, params: 2579730, epoch_time: 50.2061, genotype: [[9, [0, 0, 10, 5], [2, 2, 6, 8], [2, 2, 5, 10]], [[2, 2], [4, 1], [0, 1]]]
reward: 0.4734, epoch: 533, params: 2206354, epoch_time: 53.9908, genotype: [[0, [0, 0, 0, 9], [2, 3, 5, 0], [4, 2, 10, 0]], [[0, 1], [0, 0], [2, 1]]]
reward: 0.3599, epoch: 534, params: 1968018, epoch_time: 51.6635, genotype: [[10, [0, 0, 9, 0], [2, 0, 2, 8], [5, 0, 9, 10]], [[2, 0], [4, 4], [3, 2]]]
reward: 0.4489, epoch: 535, params: 2570130, epoch_time: 46.5611, genotype: [[1, [0, 0, 9, 5], [3, 0, 10, 0], [2, 0, 10, 6]], [[2, 1], [3, 4], [3, 4]]]
reward: 0.4436, epoch: 536, params: 2444818, epoch_time: 57.5989, genotype: [[7, [0, 0, 9, 6], [0, 1, 8, 2], [0, 2, 0, 5]], [[3, 0], [3, 1], [2, 0]]]
reward: 0.5056, epoch: 537, params: 2205714, epoch_time: 57.6520, genotype: [[0, [0, 0, 6, 7], [2, 0, 9, 9], [4, 4, 0, 0]], [[0, 2], [3, 0], [4, 0]]]
reward: 0.4198, epoch: 538, params: 2026258, epoch_time: 47.5079, genotype: [[10, [0, 0, 0, 9], [2, 1, 0, 2], [5, 2, 8, 2]], [[2, 3], [2, 1], [2, 3]]]
reward: 0.4983, epoch: 539, params: 2009106, epoch_time: 57.1479, genotype: [[0, [0, 0, 0, 10], [0, 2, 2, 10], [6, 0, 0, 0]], [[0, 0], [4, 1], [0, 1]]]
reward: 0.3858, epoch: 540, params: 2165266, epoch_time: 49.2119, genotype: [[8, [0, 0, 10, 10], [2, 0, 0, 10], [3, 0, 9, 5]], [[2, 1], [1, 3], [2, 0]]]
reward: 0.4771, epoch: 541, params: 2412562, epoch_time: 94.7792, genotype: [[3, [0, 0, 5, 6], [3, 0, 4, 0], [3, 4, 10, 10]], [[3, 0], [0, 2], [3, 0]]]
reward: 0.3836, epoch: 542, params: 2855826, epoch_time: 54.8130, genotype: [[6, [0, 0, 5, 4], [3, 1, 5, 8], [6, 2, 5, 7]], [[3, 1], [1, 4], [2, 1]]]
reward: 0.4928, epoch: 543, params: 2466706, epoch_time: 62.3184, genotype: [[0, [0, 0, 0, 0], [0, 0, 8, 5], [4, 0, 2, 6]], [[2, 0], [3, 0], [0, 3]]]
reward: 0.4730, epoch: 544, params: 2254354, epoch_time: 82.9318, genotype: [[0, [0, 0, 3, 8], [0, 2, 9, 1], [3, 0, 2, 4]], [[1, 2], [2, 0], [0, 2]]]
reward: 0.4732, epoch: 545, params: 2801682, epoch_time: 64.9266, genotype: [[5, [0, 0, 6, 10], [2, 0, 5, 1], [2, 6, 10, 8]], [[2, 0], [0, 1], [5, 0]]]
reward: 0.5246, epoch: 546, params: 2598930, epoch_time: 63.5116, genotype: [[2, [0, 0, 10, 5], [2, 0, 9, 0], [2, 0, 5, 5]], [[0, 0], [4, 4], [1, 0]]]
reward: 0.4295, epoch: 547, params: 2222866, epoch_time: 54.9631, genotype: [[10, [0, 0, 8, 0], [2, 0, 2, 10], [6, 0, 2, 6]], [[0, 1], [2, 3], [2, 0]]]
reward: 0.4296, epoch: 548, params: 2633874, epoch_time: 65.1040, genotype: [[9, [0, 0, 6, 8], [2, 1, 5, 0], [6, 6, 6, 2]], [[2, 0], [4, 1], [4, 0]]]
reward: 0.4149, epoch: 549, params: 2408466, epoch_time: 52.1518, genotype: [[1, [0, 0, 0, 8], [1, 1, 9, 0], [4, 5, 6, 10]], [[2, 1], [3, 4], [4, 0]]]
reward: 0.4015, epoch: 550, params: 2424210, epoch_time: 57.8420, genotype: [[5, [0, 0, 5, 0], [2, 1, 0, 10], [3, 0, 0, 0]], [[0, 2], [3, 4], [3, 0]]]
reward: 0.3658, epoch: 551, params: 2050194, epoch_time: 98.3245, genotype: [[0, [0, 0, 10, 0], [0, 0, 4, 8], [2, 4, 0, 3]], [[1, 0], [2, 4], [4, 3]]]
